skid	name	paper_id	paper_name	annotations	FBbt_id	FBbt_name
601939	muscle 94242	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 4 (601929), anterior tibia reductor muscle fiber (601931), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94241 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722988)	FBbt:00058109	tibial reductor muscle cell
601952	neuron 100390	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), tibial bristle (601746), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100389 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722990)	FBbt:00052592	prothoracic tibial bristle sensory neuron
601964	neuron 100396	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100395 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722992)	FBbt:00052592	prothoracic tibial bristle sensory neuron
601976	neuron 81965	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), TrCS8 (601850), sensory neuron (601744), trochanteral campaniform sensillum (601853), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 81964 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722994)	FBbt:00052572	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8
601992	neuron 100403	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100402 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722996)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602004	muscle 94260	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 4 (601929), anterior tibia reductor muscle fiber (601931), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94259 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722998)	FBbt:00058109	tibial reductor muscle cell
602017	muscle 94266	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94265 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723000)	FBbt:00058109	tibial reductor muscle cell
602032	neuron 104507	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), innervates scolopidium 103501 (602040), femoral chordotonal neuron (601768), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 104506 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723002),  (1688946), attaches to FeCO lateral tendon (1688928), UPDATED FROM LINKED NEURON - 2022-07-27 11:41 PM (1688950)	FBbt:00048052	mechanosensory neuron of prothoracic femoral chordotonal organ
602048	neuron 100414	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), tibial bristle (601746), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100413 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723004)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602060	muscle 94272	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94271 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723006)	FBbt:00058109	tibial reductor muscle cell
602073	neuron 100422	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100421 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723008)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602085	neuron 100428	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), tibial bristle (601746), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100427 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723010)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602097	muscle 94285	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94284 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723012)	FBbt:00058109	tibial reductor muscle cell
602110	neuron 100434	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100433 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723014)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602122	muscle 94291	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94290 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723016)	FBbt:00058109	tibial reductor muscle cell
602135	neuron 100444	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100443 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723018)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602147	muscle 94301	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94300 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723020)	FBbt:00058109	tibial reductor muscle cell
602160	neuron 100452	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100451 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723022)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602172	muscle 94310	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94309 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723024)	FBbt:00058109	tibial reductor muscle cell
602185	neuron 104551	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), innervates scolopidium 103455 (602193), femoral chordotonal neuron (601768), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 104550 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723026),  (1688946), attaches to FeCO lateral tendon (1688928), UPDATED FROM LINKED NEURON - 2022-07-27 11:41 PM (1688950)	FBbt:00048052	mechanosensory neuron of prothoracic femoral chordotonal organ
602201	neuron 100460	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100459 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723028)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602213	neuron 100469	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100468 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723030)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602225	muscle 94331	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94330 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723032)	FBbt:00058109	tibial reductor muscle cell
602238	neuron 100480	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), damaged (602243), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100479 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723034)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602252	muscle 94337	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94336 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723036)	FBbt:00058109	tibial reductor muscle cell
602265	muscle 94343	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94342 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723038)	FBbt:00058109	tibial reductor muscle cell
602278	neuron 100488	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), tibial bristle (601746), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100487 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723040)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602290	neuron 82061	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), ventral nerve (602299), thorax-coxa joint (602301), CoHP8 (602303), sensory neuron (601744), hair plate (602306), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82060 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723042)	FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8
602313	muscle 94349	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 6 (602022), posterior tibia reductor muscle fiber (602024), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94348 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723044)	FBbt:00058109	tibial reductor muscle cell
602326	neuron 100494	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100493 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723046)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602338	neuron 82065	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), ventral nerve (602299), thorax-coxa joint (602301), CoHP8 (602303), sensory neuron (601744), hair plate (602306), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82064 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723048)	FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8
602357	neuron 100500	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100499 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723050)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602369	neuron 82073	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), ventral nerve (602299), thorax-coxa joint (602301), CoHP8 (602303), sensory neuron (601744), hair plate (602306), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82072 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723052)	FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8
602388	neuron 100508	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), tibial bristle (601746), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100507 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723054)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602400	neuron 82079	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), ventral nerve (602299), thorax-coxa joint (602301), CoHP8 (602303), sensory neuron (601744), hair plate (602306), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82078 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723056)	FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8
602419	neuron 100514	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100513 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723058)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602431	neuron 82085	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), ventral nerve (602299), thorax-coxa joint (602301), CoHP8 (602303), sensory neuron (601744), hair plate (602306), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82084 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723060)	FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8
602450	neuron 104614	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), innervates scolopidium 103367 (602458), femoral chordotonal neuron (601768), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 104613 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723062),  (1688946), attaches to FeCO lateral tendon (1688928), UPDATED FROM LINKED NEURON - 2022-07-27 11:41 PM (1688950)	FBbt:00048052	mechanosensory neuron of prothoracic femoral chordotonal organ
602466	neuron 100520	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), tibial bristle (601746), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100519 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723064)	FBbt:00052592	prothoracic tibial bristle sensory neuron
602478	neuron 104624	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), innervates scolopidium 103343 (602486), femoral chordotonal neuron (601768), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 104623 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723066),  (1688946), attaches to FeCO lateral tendon (1688928), UPDATED FROM LINKED NEURON - 2022-07-27 11:41 PM (1688950)	FBbt:00048052	mechanosensory neuron of prothoracic femoral chordotonal organ
602494	neuron 82097	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), thorax-coxa joint (602301), CoHP8 (602303), ventral nerve (602299), sensory neuron (601744), hair plate (602306), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82096 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723068)	FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8
602513	neuron 82103	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), ventral nerve (602299), thorax-coxa joint (602301), CoHP8 (602303), sensory neuron (601744), hair plate (602306), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82102 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723070)	FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8
602532	neuron 82109	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), dorsal nerve (602539), thorax-coxa joint (602301), CoHP3 (602542), hair plate (602306), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 82108 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723072)	FBbt:00058082	mechanosensory neuron of prothoracic coxal hair plate CoHP3
602551	neuron 141507	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), innervates scolopidium 103476 (602559), neuron 95871 (602561), femoral chordotonal neuron (601768), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 141506 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (723074),  (1688946), attaches to FeCO lateral tendon (1688928), UPDATED FROM LINKED NEURON - 2022-07-27 11:41 PM (1688950)	FBbt:00048052	mechanosensory neuron of prothoracic femoral chordotonal organ
