skid	name	paper_id	paper_name	annotations
492549	neuron 3788 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), right soma (492400), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 3787 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492562), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:25 PM (659612), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492565	neuron 10829 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), motor neuron (492396), right T1 dorsal nerve (492511), skeleton (492337), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 10828 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492579), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:02 PM (657533), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492582	neuron 3793 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), right soma (492400), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 3792 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492595), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:25 PM (659612), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492598	neuron 11349 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), motor neuron (492396), left soma (492419), LINKED NEURON - elastic transformation of skeleton id 11348 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492610), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:13 PM (658449), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492613	neuron 13013 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 13012 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492639), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:05 PM (657740), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492642	neuron 13019 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 13018 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492654), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:06 PM (657816), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492657	neuron 3803 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), motor neuron (492396), skeleton (492337), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 3802 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492670), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:26 PM (659665), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492673	Neuron 21087 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), right soma (492400), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 21086 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492687), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:03 PM (657600), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492690	neuron 76001 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron C1 bundle (492394), left soma (492419), right cervical nerve (492699), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 76000 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492703), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:56 PM (656661), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492706	neuron 76008 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron C1 bundle (492394), right cervical nerve (492699), motor neuron (492396), skeleton (492337), left soma (492419), LINKED NEURON - elastic transformation of skeleton id 76007 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492718), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:56 PM (656661), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492721	neuron 3818 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), motor neuron (492396), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 3817 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492734), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:26 PM (659665), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492737	neuron 13170 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), motor neuron (492396), left soma (492419), left T1 dorsal nerve (492416), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 13169 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492749), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:09 PM (658063), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492752	neuron 11127 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), motor neuron (492396), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 11126 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492767), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-07-24 04:05 PM (624931), UPDATED FROM LINKED NEURON - 2020-08-12 09:09 PM (658063), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492770	neuron 11002 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), right soma (492400), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 11001 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492783), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-07-24 01:35 PM (624858), UPDATED FROM LINKED NEURON - 2020-08-12 09:06 PM (657816), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492786	neuron 13951 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron C1 bundle (492394), motor neuron (492396), left cervical nerve (492398), right soma (492400), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 13950 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492798), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:23 PM (659394), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492810	neuron 18433 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	wing motor neuron (492816), wing motor neuron A9 bundle (492818), left T2 accessory nerve (492820), posterior soma (492822), motor neuron (492396), left soma (492419), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 18432 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492827), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:52 PM (656370), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492831	neuron 69636 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L1 bundle (492841), left T2 leg nerve (492843), left soma (492419), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 69635 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492848), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492851	neuron 18438 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	wing motor neuron (492816), wing motor neuron A10 bundle (492858), posterior soma (492822), left T2 accessory nerve (492820), left soma (492419), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 18437 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492865), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492881	neuron 69648 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L1 bundle (492841), left T2 leg nerve (492843), left soma (492419), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 69647 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492893), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492896	neuron 18450 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	wing motor neuron (492816), wing motor neuron A8 bundle (492903), left T2 accessory nerve (492820), left soma (492419), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 18449 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492909), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492912	neuron 18455 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	wing motor neuron (492816), wing motor neuron A9 bundle (492818), left T2 accessory nerve (492820), posterior soma (492822), left soma (492419), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 18454 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492925), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492942	neuron 188442 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	skeleton (492337), left soma (492419), T3 leg motor neuron tbd bundle (492951), T3 leg motor neuron (492953), motor neuron (492396), left T3 leg nerve (492333), LINKED NEURON - elastic transformation of skeleton id 188441 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492957), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492960	neuron 69661 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L1 bundle (492841), left T2 leg nerve (492843), motor neuron (492396), skeleton (492337), left soma (492419), LINKED NEURON - elastic transformation of skeleton id 69660 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492978), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492981	neuron 12321 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T1 leg motor neuron V3 bundle (492988), T1 leg motor neuron (492990), right soma (492400), motor neuron (492396), leaves through damage (492994), skeleton (492337), right T1 ventral nerve (492997), LINKED NEURON - elastic transformation of skeleton id 12320 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492999), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-10 02:08 AM (646290), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493002	neuron 69673 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L1 bundle (492841), left T2 leg nerve (492843), left soma (492419), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 69672 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493015), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493018	neuron 10299 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T1 leg motor neuron A2 bundle (493024), T1 leg motor neuron (492990), left-right homologs 10299 & 11944 (493027), left T1 accessory nerve (493029), skeleton (492337), posterior soma (492822), motor neuron (492396), left soma (492419), LINKED NEURON - elastic transformation of skeleton id 10298 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493035), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-10 02:09 AM (646329), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493038	neuron 106570 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	skeleton (492337), T3 leg motor neuron (492953), T3 leg motor neuron L14 bundle (493047), motor neuron (492396), left soma (492419), left T3 leg nerve (492333), LINKED NEURON - elastic transformation of skeleton id 106569 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493052), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493055	neuron 69726 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L6 bundle (493063), left T2 leg nerve (492843), left soma (492419), motor neuron (492396), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 69725 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493069), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:54 PM (656505), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493072	neuron 116839 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	skeleton (492337), haltere motor neuron (493080), left first abdominal nerve (493082), haltere motor neuron T3 H1 bundle (493084), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 116838 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493088), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:54 PM (656505), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493091	neuron 18544 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L1 bundle (492841), right T2 leg nerve (493099), skeleton (492337), motor neuron (492396), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 18543 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493104), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:54 PM (656505), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493107	neuron 12402 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T1 leg motor neuron L1 bundle (493113), T1 leg motor neuron (492990), left-right homologs 83815 & 12402 (493116), right T1 leg nerve (493118), skeleton (492337), leaves through damage (492994), motor neuron (492396), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 12401 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493130), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-10 02:10 AM (646398), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493133	neuron 18554 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L1 bundle (492841), right T2 leg nerve (493099), skeleton (492337), motor neuron (492396), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 18553 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493146), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:54 PM (656505), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493149	neuron 10367 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T1 leg motor neuron V3 bundle (492988), T1 leg motor neuron (492990), left soma (492419), motor neuron (492396), left T1 ventral nerve (493161), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 10366 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493164), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-10 02:11 AM (646451), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493167	neuron 18563 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T2 leg motor neuron (492839), T2 leg motor neuron L7 bundle (493175), right T2 leg nerve (493099), skeleton (492337), motor neuron (492396), right soma (492400), LINKED NEURON - elastic transformation of skeleton id 18562 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493181), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:54 PM (656505), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493184	neuron 2180 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T1 leg motor neuron L1 bundle (493113), T1 leg motor neuron (492990), left-right homologs 476 & 2180 (493192), right T1 leg nerve (493118), skeleton (492337), right soma (492400), leaves through damage (492994), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 2179 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493202), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-10 02:11 AM (646451), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493205	neuron 10372 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T1 leg motor neuron V6 bundle (493216), left-right homologs 10372 & 10802 (493218), skeleton (492337), motor neuron (492396), left soma (492419), T1 leg motor neuron (492990), left T1 ventral nerve (493161), LINKED NEURON - elastic transformation of skeleton id 10371 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493225), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-10 02:11 AM (646451), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
493228	neuron 10377 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	T1 leg motor neuron V1 bundle (493242), left-right homologs 10377 & 3808 (493244), T1 leg motor neuron (492990), left T1 ventral nerve (493161), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 10376 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (493251), UPDATED FROM LINKED NEURON - 2020-06-26 03:09 AM (492829), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-10 02:12 AM (646492), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
