skid	name	paper_id	paper_name	synonyms
7693659	CPb s 4 Right CP2/3d obPl 13	21218996	Andrade et al. 2019	
8066171	BLVa34 a s 1 Right	21218996	Andrade et al. 2019	
8138520	DPLc post med s 4 Right	21218996	Andrade et al. 2019	
8208038	BLVa34 a s 4 Left	21218996	Andrade et al. 2019	
8368854	BLP34 b s 6 Left	21218996	Andrade et al. 2019	
8426335	BAlp4 s 2 Left 	21218996	Andrade et al. 2019	
8555954	BLP34 a s 8 Right	21218996	Andrade et al. 2019	
8573240	DPMm1 ppFB s 6 Right	21218996	Andrade et al. 2019	
8574334	DPMm1 upp comm s 2 Right	21218996	Andrade et al. 2019	
8575183	DPMm1 s 4	21218996	Andrade et al. 2019	
8706074	BLAd OL s 1 Right	21218996	Andrade et al. 2019	
8805521	BLAl s 1 Right	21218996	Andrade et al. 2019	
8814452	BAmv12 int s 6 Left	21218996	Andrade et al. 2019	
8893368	BLP34 a s 2 Right	21218996	Andrade et al. 2019	
8943031	BLVa34 a s 2 Right	21218996	Andrade et al. 2019	
8943298	BLVa34 a s 3 Right	21218996	Andrade et al. 2019	
9235768	DPLc post med s 3 Left	21218996	Andrade et al. 2019	
9236353	DPLc post med s 1 Left	21218996	Andrade et al. 2019	
9289231	DPLm1 s 1 Right	21218996	Andrade et al. 2019	
9318513	CP23 v s 6 Left	21218996	Andrade et al. 2019	
9345728	DALcl12 d s 6 Right	21218996	Andrade et al. 2019	
9347019	DALcl12 d s 9 Right	21218996	Andrade et al. 2019	
9689371	CM13 lat s 2 Right	21218996	Andrade et al. 2019	
9696888	CM4 s MEFcom 6 Left	21218996	Andrade et al. 2019	
9698215	CM4 s MEFcom 2 Left 	21218996	Andrade et al. 2019	
9816042	CPf s 1 Right	21218996	Andrade et al. 2019	
9844278	CM4 s MEFcom 3 Left 	21218996	Andrade et al. 2019	
9856467	CM4 s MEFcom 4 Left 	21218996	Andrade et al. 2019	
9864387	CM4 s dor pos com 3 Left	21218996	Andrade et al. 2019	
9864461	CM4 s dor pos com 4 Left	21218996	Andrade et al. 2019	
9864536	CM4 s dor pos MEF 2 Left 	21218996	Andrade et al. 2019	
9947504	CM4 s short pos 3 Left	21218996	Andrade et al. 2019	
9947805	CM4 s dor pos MEF 3 Left	21218996	Andrade et al. 2019	
9947921	CM4 s ppFB 6 Left	21218996	Andrade et al. 2019	
9948629	DPMm1 ppFB s 1 Left	21218996	Andrade et al. 2019	
9949160	Close to DPM SU Left	21218996	Andrade et al. 2019	
9949223	DPMm1 ppFB s 2 Left	21218996	Andrade et al. 2019	
9949264	DPMm1 ppFB s 3 Left	21218996	Andrade et al. 2019	
9950404	DPMm1 Left	21218996	Andrade et al. 2019	
9950816	DPMm1 upp comm s 4 Left	21218996	Andrade et al. 2019	
9951197	DPMm1 Left	21218996	Andrade et al. 2019	
9951607	DPMpm2 s NB 2 Left 	21218996	Andrade et al. 2019	
9951753	DPMpm1 s 3 Left	21218996	Andrade et al. 2019	
9951917	DPMpm1 s 6 Left	21218996	Andrade et al. 2019	
9954202	CM4 s short pos 1 Left	21218996	Andrade et al. 2019	
9954298	CM4 s ven 1 Left	21218996	Andrade et al. 2019	
9954421	CM4 s MEFcom 1 Left	21218996	Andrade et al. 2019	
9954547	CM4 s dor pos com 1 Left	21218996	Andrade et al. 2019	
10011972	CM4 s loSM 4 Left	21218996	Andrade et al. 2019	
10014485	CM4 s loSM 5 Left	21218996	Andrade et al. 2019	
10015661	CM4 s MEFcom 5 Left	21218996	Andrade et al. 2019	
10017669	CM4 s short pos 2 Left	21218996	Andrade et al. 2019	
10017683	CM4 s dor pos MEF 6 Left	21218996	Andrade et al. 2019	
10017968	CM4 s ven 2 Left	21218996	Andrade et al. 2019	
10138514	DALcl12 v s 1 Right	21218996	Andrade et al. 2019	
10269309	DPMm1 ppFB s 4 Left	21218996	Andrade et al. 2019	
10282203	DPMm1 s Left	21218996	Andrade et al. 2019	
10284042	DPMm1 desc s med 2 Left	21218996	Andrade et al. 2019	
10297957	DPMm1 ppFB s 5 Left	21218996	Andrade et al. 2019	
10300139	DPMm1 s NB 1 Left	21218996	Andrade et al. 2019	
10302790	BLAd ven lat s 2 Right	21218996	Andrade et al. 2019	
10303172	BLAd ven lat s 1 Right	21218996	Andrade et al. 2019	
10381874	CM4 s GC 3 Left	21218996	Andrade et al. 2019	
10414455	CM4 s loSM 1 Left	21218996	Andrade et al. 2019	
10425159	DALcl12 v s 2 Right	21218996	Andrade et al. 2019	
10425567	DALcl12 d s 5 Right	21218996	Andrade et al. 2019	
10425974	DALcl12 d s 1 Right	21218996	Andrade et al. 2019	
10426321	DALcl12 d s 2 Right	21218996	Andrade et al. 2019	
10466429	DPMpm2 s loSM 1 Left	21218996	Andrade et al. 2019	
10533010	BLP34 b s 8 Left	21218996	Andrade et al. 2019	
10577349	DPMm1 upp comm s 5 Left	21218996	Andrade et al. 2019	
10711658	DPMpm2 s 2 Left	21218996	Andrade et al. 2019	
10712085	DPMpm2 ppFB 4 - Left	21218996	Andrade et al. 2019	
10714438	DPMpm2 ppFB 2 - Left	21218996	Andrade et al. 2019	
10763235	DPMm1 s NB Left	21218996	Andrade et al. 2019	
10764796	DPMm1 s Left	21218996	Andrade et al. 2019	
10794801	DPMpm1 ppFB 5 - Right	21218996	Andrade et al. 2019	
10888799	CM4 s loSM 3 Left	21218996	Andrade et al. 2019	
10891371	CM4 s dor pos MEF 5 Left	21218996	Andrade et al. 2019	
10903519	DPMpm2 s 1 Left	21218996	Andrade et al. 2019	
10919351	DPMpm2 s loSM 4 Left	21218996	Andrade et al. 2019	
10920017	DPMpm2 s NB 1 Left	21218996	Andrade et al. 2019	
10924217	DPMm1 s Left	21218996	Andrade et al. 2019	
10939614	non-neuron? 10939615	21218996	Andrade et al. 2019	
10945119	BLVp2 s 5 Right	21218996	Andrade et al. 2019	
10961772	DPMm2 ppFB ant dor s 1 Left	21218996	Andrade et al. 2019	
10974309	DPMpm1 s 4 Left	21218996	Andrade et al. 2019	
10993782	DPMm1 upp comm s 3 Left	21218996	Andrade et al. 2019	
10993787	DPMm1 upp comm s 1 Left	21218996	Andrade et al. 2019	
10994942	DPMm1 upp comm s 2 Left	21218996	Andrade et al. 2019	
10995187	DPMm1 Left s	21218996	Andrade et al. 2019	
11022929	DPMpm2 s loSM 2 Left	21218996	Andrade et al. 2019	
11030926	DPMpm2 s 3 Left	21218996	Andrade et al. 2019	
11032107	SU neuron s 11032108 left	21218996	Andrade et al. 2019	
11085317	CM4 s GC 1 Left	21218996	Andrade et al. 2019	
11095260	CM4 s loSM 6 Left	21218996	Andrade et al. 2019	
11126336	DPMm1 ppFB s 3 Right	21218996	Andrade et al. 2019	
11179035	BLVa12 b s 2 Right	21218996	Andrade et al. 2019	
11190385	BLP34 a s 4 Left	21218996	Andrade et al. 2019	
11190781	BLVp2 s 1 Left	21218996	Andrade et al. 2019	
11190809	BLP34 b s 2 Left	21218996	Andrade et al. 2019	
11215773	BLVa12 b s 1 Right	21218996	Andrade et al. 2019	
11311591	DPMm1 Left s	21218996	Andrade et al. 2019	
11313556	DPMm1 desc s lat 1 Left	21218996	Andrade et al. 2019	
11463379	CM4 s ven 2 Right	21218996	Andrade et al. 2019	
11509597	DPMpm1 s 4 Right	21218996	Andrade et al. 2019	
11509767	DPMpm1 s 2 Right	21218996	Andrade et al. 2019	
12032517	DPMl12 ant s 3 Right	21218996	Andrade et al. 2019	
12204694	DPMpm1 ppFB 1 - Right	21218996	Andrade et al. 2019	
12205963	DPMpm1 ppFB 2 - Right	21218996	Andrade et al. 2019	
12206139	DPMm2 ppFB ant dor s 1 Right	21218996	Andrade et al. 2019	
12207291	DPMpm1 ppFB 3 - Right	21218996	Andrade et al. 2019	
12207495	DPMm2 ppFB ant dor s 2 Right 	21218996	Andrade et al. 2019	
12208050	DPMpm1 ppFB 4 - Right	21218996	Andrade et al. 2019	
12208798	DPMpm1 ppFB 6 - Right	21218996	Andrade et al. 2019	
12256567	DPMm1 ppFB s 7 Right	21218996	Andrade et al. 2019	
12262871	CM4 s ppFB 5 Right	21218996	Andrade et al. 2019	
12283795	CM4 s ppFB 6 Right	21218996	Andrade et al. 2019	
12289177	CM4 s ven 3 Right	21218996	Andrade et al. 2019	
12290287	CM4 s ppFB 7 Right	21218996	Andrade et al. 2019	
12343219	DPMpm2 ppFB 5 - Right	21218996	Andrade et al. 2019	
12345237	DPMpm2 s 1 Right	21218996	Andrade et al. 2019	
12345792	CM4 s ppFB 3 Right	21218996	Andrade et al. 2019	
12346676	CM4 s ppFB 2 Right 	21218996	Andrade et al. 2019	
12347886	CM4 s ppFB 4 Right	21218996	Andrade et al. 2019	
12361947	DPMm1 ppFB s 6 Left	21218996	Andrade et al. 2019	
12362682	CP23 ppFB s 1 Right	21218996	Andrade et al. 2019	
12365683	BLVa t s 1 Left	21218996	Andrade et al. 2019	
12367292	CM4 s ppFB 8 Right - ends before 601 	21218996	Andrade et al. 2019	
12367466	CM4 s dor pos MEF 1 Right	21218996	Andrade et al. 2019	
12372419	BLVa t s 2 Left	21218996	Andrade et al. 2019	
12385468	BLVa t s 4 Left	21218996	Andrade et al. 2019	
12445523	CM4 s ppFB 2 Left	21218996	Andrade et al. 2019	
12446997	CP23 ppFB s 1 Left	21218996	Andrade et al. 2019	
12449484	DPMpm2 ppFB 3 - Left	21218996	Andrade et al. 2019	
12474032	DPMpm1 ppFB 7 - Right	21218996	Andrade et al. 2019	
12477165	BAlc post s 5 Left	21218996	Andrade et al. 2019	
12488233	DPMm1 ppFB s 7 Left	21218996	Andrade et al. 2019	
12494383	CM4 s ppFB 7 Left	21218996	Andrade et al. 2019	
12498192	DPMm2 ppFB ant dor s 2 Left 	21218996	Andrade et al. 2019	
12530013	CM4 s ppFB 1 Left	21218996	Andrade et al. 2019	
12532127	DPMm1 ppFB s 4 Right	21218996	Andrade et al. 2019	
12532152	DPMm1 ppFB s 5 Right	21218996	Andrade et al. 2019	
12546782	DPLal-13 s 3 Right	21218996	Andrade et al. 2019	
12549053	DPLal1-3 s 4 Right	21218996	Andrade et al. 2019	
12549257	DPLal1-3 s 1 Right	21218996	Andrade et al. 2019	
12570095	DPLam s 1 Right	21218996	Andrade et al. 2019	
12570525	DALl1 s 6 Right	21218996	Andrade et al. 2019	
12615701	BLAl s 2 Right	21218996	Andrade et al. 2019	
12618333	BLAl s 3 Right	21218996	Andrade et al. 2019	
12701593	DPLc ant lat s 2 Right	21218996	Andrade et al. 2019	
12702367	DPLc ant lat s 4 Right	21218996	Andrade et al. 2019	
12702656	DPLd s 4 Right	21218996	Andrade et al. 2019	
12703528	DPLd s 1 Right	21218996	Andrade et al. 2019	
12704599	DPLd s 5 Right	21218996	Andrade et al. 2019	
12727225	BAla12 s 1 Left	21218996	Andrade et al. 2019	
12745233	DPLl a s 1	21218996	Andrade et al. 2019	
12747607	DPLl p s 1 Right	21218996	Andrade et al. 2019	
12749099	DPLl i s 1 Right	21218996	Andrade et al. 2019	
12751130	DPLl i s 3 Right	21218996	Andrade et al. 2019	
12755280	DPLl i s 2 Right	21218996	Andrade et al. 2019	
12845026	DPLc post lat s 1 Right	21218996	Andrade et al. 2019	
12846265	DPLc post lat s 2 Right	21218996	Andrade et al. 2019	
12847167	DPLc post lat s 3 Right	21218996	Andrade et al. 2019	
12877880	BLDc s 1 Right	21218996	Andrade et al. 2019	
12880792	BLDc s 4 Right	21218996	Andrade et al. 2019	
12927136	BAmd2 v s 3 Left	21218996	Andrade et al. 2019	
12978829	DPLc ant lat s 6 Right	21218996	Andrade et al. 2019	
12979804	DPLc ant lat s 3 Right	21218996	Andrade et al. 2019	
12981110	DPLc ant lat s 5 Right	21218996	Andrade et al. 2019	
12982435	DPLd s 2 Right	21218996	Andrade et al. 2019	
12984739	DPLd s 3 Right	21218996	Andrade et al. 2019	
12985971	DPMl34 ant s 1 Right	21218996	Andrade et al. 2019	
12986939	DPMl34 ant s 2 Right	21218996	Andrade et al. 2019	
12988149	DPMl34 ant s 3 Right	21218996	Andrade et al. 2019	
12991032	DPLc post lat s 6 Right	21218996	Andrade et al. 2019	
12992011	DPLc post lat s 7 Right	21218996	Andrade et al. 2019	
12993051	DPLc post lat s 5 Right	21218996	Andrade et al. 2019	
12995472	DPMl34 pos s 2 Right	21218996	Andrade et al. 2019	
12996024	DPMl34 pos s 1 Right	21218996	Andrade et al. 2019	
13202894	DPLam s 1 Left	21218996	Andrade et al. 2019	
13216296	DPMl12 pos s 7 Right	21218996	Andrade et al. 2019	
13217452	DPMl12 pos s 6 Right	21218996	Andrade et al. 2019	
13217639	DPMl12 pos s 5 Right	21218996	Andrade et al. 2019	
13217922	DPMl12 pos s 4 Right	21218996	Andrade et al. 2019	
13218289	DPMl12 pos s 3 Right	21218996	Andrade et al. 2019	
13220541	DPMl ant dor nb 1_TODO	21218996	Andrade et al. 2019	
13234578	DPMm1 s Right	21218996	Andrade et al. 2019	
13234841	DPMm1 s Right	21218996	Andrade et al. 2019	
13235092	DPMm1 s Right	21218996	Andrade et al. 2019	
13235454	DPMm1 upp comm s 3 Right	21218996	Andrade et al. 2019	
13237321	DPMm1 upp comm s 1 Right	21218996	Andrade et al. 2019	
13238159	DPMm1 s 3	21218996	Andrade et al. 2019	
13239550	DPMm1 upp comm s 4 Right	21218996	Andrade et al. 2019	
13241784	DPMm1 s 1	21218996	Andrade et al. 2019	
13340343	DPMm1 upp comm s 5 Right	21218996	Andrade et al. 2019	
13341065	DPMm1 ant comm s 1 Right	21218996	Andrade et al. 2019	
13341456	DPMm1 s right	21218996	Andrade et al. 2019	
13345002	DPMpm1 s 5 Right	21218996	Andrade et al. 2019	
13362478	DPMm1 s longit 1	21218996	Andrade et al. 2019	
13364562	DPMpm1 s 3 Right	21218996	Andrade et al. 2019	
13389208	DPLc post lat ant s 1 Right	21218996	Andrade et al. 2019	
13407007	DPMm1 s longit med 2	21218996	Andrade et al. 2019	
13410103	DPMm1 s longit med 1	21218996	Andrade et al. 2019	
13410891	DPMm1 desc s med 2 Right	21218996	Andrade et al. 2019	
13411388	DPMm1 s longit 2	21218996	Andrade et al. 2019	
13411400	DPMm1 s desc med 1	21218996	Andrade et al. 2019	
13451589	DPMm1 ant comm s 2 Right	21218996	Andrade et al. 2019	
13454509	DPMm1 s 2	21218996	Andrade et al. 2019	
13556524	DPMm1 desc s lat 1 Right	21218996	Andrade et al. 2019	
13726190	BAla34 s 2 Right	21218996	Andrade et al. 2019	
13729664	BAmv12 dor s 4 Right	21218996	Andrade et al. 2019	
13730666	BAmv12 int s 5 Right	21218996	Andrade et al. 2019	
13731104	BAmv12 int s 3 Right	21218996	Andrade et al. 2019	
13732551	BAmv12 dor s 1 Right	21218996	Andrade et al. 2019	
13733436	BAmv12 dor s 2 Right	21218996	Andrade et al. 2019	
13733768	BAmv12 dor s 3 Right	21218996	Andrade et al. 2019	
13734146	BAmv12 dor s 5 Right	21218996	Andrade et al. 2019	
13734435	BAmv12 dor s 6 Right	21218996	Andrade et al. 2019	
13734645	BAmv12 int s 1 Right	21218996	Andrade et al. 2019	
13734815	BAmv12 dor s 7 Right	21218996	Andrade et al. 2019	
13734996	BAmv12 dor s 8 Right	21218996	Andrade et al. 2019	
13735199	BAmv12 dor s 9 Right	21218996	Andrade et al. 2019	
13756873	BAmd2 d s 1 Right	21218996	Andrade et al. 2019	
13758977	BAmd2 v s 5 Right	21218996	Andrade et al. 2019	
13759971	BAmd2 v s 2 Right	21218996	Andrade et al. 2019	
13760269	BAmd2 v s 4 Right	21218996	Andrade et al. 2019	
13760579	BAmd2 v s 6 Right	21218996	Andrade et al. 2019	
13836912	BAmd2 v s 1 Right 	21218996	Andrade et al. 2019	
13838330	BAmd2 v s 3 Right	21218996	Andrade et al. 2019	
13840191	BAmd2 v s 8 Right	21218996	Andrade et al. 2019	
13841014	BAmd2 v s 7 Right	21218996	Andrade et al. 2019	
13950873	DAMd23 s 2 Right	21218996	Andrade et al. 2019	
13950952	DAMd23 s 3 Right	21218996	Andrade et al. 2019	
13965334	BAmas12 ven s 3 Right	21218996	Andrade et al. 2019	
13966425	BAmas12 ven s 2 Right	21218996	Andrade et al. 2019	
13967121	BAmas12 ven s 4 Right	21218996	Andrade et al. 2019	
13967587	BAmas12 ven s 1 Right	21218996	Andrade et al. 2019	
13974142	TR BAlv s 4 Right	21218996	Andrade et al. 2019	
14265548	CM13 med s 2 Left	21218996	Andrade et al. 2019	
14265559	CM13 med s 1 Left	21218996	Andrade et al. 2019	
14265600	CPf s 1 Left	21218996	Andrade et al. 2019	
14266277	CM13 med s 4 Left	21218996	Andrade et al. 2019	
14266284	CM13 med s 5 Left	21218996	Andrade et al. 2019	
14266304	CM13 med s 6 Left	21218996	Andrade et al. 2019	
14266386	CM13 med s 9 Left	21218996	Andrade et al. 2019	
14266395	CM13 med s 7 Left	21218996	Andrade et al. 2019	
14266400	DPLc5 s 1 Left	21218996	Andrade et al. 2019	
14266405	DPLc5 s 5 Left	21218996	Andrade et al. 2019	
14266415	CM4 s GC 5 Left	21218996	Andrade et al. 2019	
14266430	CM4 s ppFB 4 Left	21218996	Andrade et al. 2019	
14266446	CM4 s ven 4 Left	21218996	Andrade et al. 2019	
14266451	CM4 s dor pos MEF 1 Left	21218996	Andrade et al. 2019	
14266471	CM4 s short pos 4 Left	21218996	Andrade et al. 2019	
14266481	CM4 s ppFB 5 Left	21218996	Andrade et al. 2019	
14266486	CM4 s ven 3 Left	21218996	Andrade et al. 2019	
14266491	CM4 s ppFB 3 Left	21218996	Andrade et al. 2019	
14266512	DPMpl3 s 2 Left	21218996	Andrade et al. 2019	
14266559	DPMpm2 s loSM 3 Left	21218996	Andrade et al. 2019	
14266565	CM4 s GC 4 Left	21218996	Andrade et al. 2019	
14266761	DPMl12 ant s 8 Left	21218996	Andrade et al. 2019	
14266964	DPMm1 ant comm s 1 Left	21218996	Andrade et al. 2019	
14267037	DAMd1 s 1 Left	21218996	Andrade et al. 2019	
14267091	DPMm1 ant comm s 2 Left	21218996	Andrade et al. 2019	
14267149	DAMd23 s 3 Left	21218996	Andrade et al. 2019	
14267160	DAMd23 s 1 Left	21218996	Andrade et al. 2019	
14267170	BAmd2 v s 1 Left	21218996	Andrade et al. 2019	
14267175	BAmd1 d s 4 Left	21218996	Andrade et al. 2019	
14271622	CM13 med s 3 Left	21218996	Andrade et al. 2019	
14403560	DPMpm2 ppFB 1 - Left	21218996	Andrade et al. 2019	
14423343	CPf s 4 Left	21218996	Andrade et al. 2019	
14423348	CPc s 1 Left	21218996	Andrade et al. 2019	
14423369	CPf s 6 Left	21218996	Andrade et al. 2019	
14423394	CPf s 3 Left	21218996	Andrade et al. 2019	
14423404	CPf s 2 Left	21218996	Andrade et al. 2019	
14423438	DPMpl3 s 1 Left	21218996	Andrade et al. 2019	
14423489	s Left	21218996	Andrade et al. 2019	
14423494	DAMd23 s 2 Left	21218996	Andrade et al. 2019	
14448530	CPf s 7 Left	21218996	Andrade et al. 2019	
14448535	CP23 v 5 s Left	21218996	Andrade et al. 2019	
14448540	BLP34 a s 5 Left	21218996	Andrade et al. 2019	
14448545	BLVp2 s 2 Left	21218996	Andrade et al. 2019	
14504024	BLP34 b s 3 Left	21218996	Andrade et al. 2019	
14504029	CP23 v s 1 Left	21218996	Andrade et al. 2019	
14504039	BLP12 b s 1 Left	21218996	Andrade et al. 2019	
14504044	BLP34 a s 6 Left	21218996	Andrade et al. 2019	
14504049	BLP12 b s 5 Left	21218996	Andrade et al. 2019	
14504060	BLP34 a s 3 Left	21218996	Andrade et al. 2019	
14504065	BLP34 a s 2 Left 	21218996	Andrade et al. 2019	
14504070	BLP34 b s 4 Left	21218996	Andrade et al. 2019	
14504075	BLVp2 s 4 Left	21218996	Andrade et al. 2019	
14546463	DAMd23 s 1 Right	21218996	Andrade et al. 2019	
14546516	DALcm12 m s 1 Right	21218996	Andrade et al. 2019	
14546549	DPMl12 ant s 6 Right	21218996	Andrade et al. 2019	
14546554	DPMl12 ant s 5 Right	21218996	Andrade et al. 2019	
14546579	DPMl12 ant s 4 Right	21218996	Andrade et al. 2019	
14546609	DPMl12 ant s 1 Right	21218996	Andrade et al. 2019	
14546614	DPMl12 ant s 2 Right	21218996	Andrade et al. 2019	
14546624	DPMpm1 s 1 Right	21218996	Andrade et al. 2019	
14546664	DPMl12 pos s 2 Right	21218996	Andrade et al. 2019	
14546674	DPMpl12 s NB 1 Right	21218996	Andrade et al. 2019	
14546704	DPMpm2 s NB 2 Right	21218996	Andrade et al. 2019	
14546714	DPMpm2 s 3 Right	21218996	Andrade et al. 2019	
14546724	DPMpm2 s 2 Right	21218996	Andrade et al. 2019	
14546734	CM4 s MEFcom 5 Right	21218996	Andrade et al. 2019	
14546749	CM4 s ven 4 Right	21218996	Andrade et al. 2019	
14546774	CM4 s short pos 1 Right	21218996	Andrade et al. 2019	
14546779	DPMpl12 s 1 Right	21218996	Andrade et al. 2019	
14546809	CM4 s loSM 1 Right	21218996	Andrade et al. 2019	
14546829	CM4 s loSM 2 Right	21218996	Andrade et al. 2019	
14546834	CM4 s MEFcom 3 Right	21218996	Andrade et al. 2019	
14546854	CM4 s short pos 2 Right	21218996	Andrade et al. 2019	
14546864	DPMpl3 s 1 Right	21218996	Andrade et al. 2019	
14546874	CM4 s loSM 3 Right	21218996	Andrade et al. 2019	
14546879	CM4 s ven 1 Right	21218996	Andrade et al. 2019	
14546885	DPMpl3 s 2 Right	21218996	Andrade et al. 2019	
14546895	CM4 s ven 6 Right	21218996	Andrade et al. 2019	
14546910	CM4 s MEFcom 4 Right	21218996	Andrade et al. 2019	
14546926	CM4 s dor pos MEF 5 Right	21218996	Andrade et al. 2019	
14546936	CM4 s loSM 4 Right	21218996	Andrade et al. 2019	
14546951	DPLc s 9	21218996	Andrade et al. 2019	
14546956	CM4 s ven 5 Right	21218996	Andrade et al. 2019	
14546986	CM4 s GC 1 Right	21218996	Andrade et al. 2019	
14547001	CM4 s GC 2 Right	21218996	Andrade et al. 2019	
14547006	DPMpl3 s 3 Right	21218996	Andrade et al. 2019	
14547041	CM4 s dor pos MEF 3 Right	21218996	Andrade et al. 2019	
14547046	CM4 s short pos 4 Right	21218996	Andrade et al. 2019	
14547066	CM4 s ven 7 Right	21218996	Andrade et al. 2019	
14547081	CM4 s loSM 5 Right	21218996	Andrade et al. 2019	
14547086	CM4 s loSM 6 Right	21218996	Andrade et al. 2019	
14547091	CM4 s loSM 7 Right	21218996	Andrade et al. 2019	
14547101	CM4 s dor pos com 2 Right	21218996	Andrade et al. 2019	
14547147	CM4 s loSM 8 Right	21218996	Andrade et al. 2019	
14547152	CM4 s dor pos com 3 Right	21218996	Andrade et al. 2019	
14547157	CM4 s GC 4 Right	21218996	Andrade et al. 2019	
14547167	DPLc5 s 4 Right	21218996	Andrade et al. 2019	
14547173	CM4 s loSM 9 Right	21218996	Andrade et al. 2019	
14547178	CM4 s dor pos com 4 Right	21218996	Andrade et al. 2019	
14547189	CM4 s loSM 10 Right	21218996	Andrade et al. 2019	
14547214	CM4 s MEFcom 2 Right	21218996	Andrade et al. 2019	
14547219	DPLc5 s 2 Right	21218996	Andrade et al. 2019	
14547234	CM4 s dor pos MEF 4 Right	21218996	Andrade et al. 2019	
14547239	CM13 med s 4 Right	21218996	Andrade et al. 2019	
14547254	CM13 med s 9 Right	21218996	Andrade et al. 2019	
14547291	CM13 med s 8 Right	21218996	Andrade et al. 2019	
14547296	CM13 lat s 3 Right	21218996	Andrade et al. 2019	
14547301	CM13 lat s 5 Right	21218996	Andrade et al. 2019	
14547306	CPf s 5 Right	21218996	Andrade et al. 2019	
14547311	CM13 med s 7 Right	21218996	Andrade et al. 2019	
14547316	CM13 med s 5 Right	21218996	Andrade et al. 2019	
14547336	CM13 med s 10 Right	21218996	Andrade et al. 2019	
14547376	CM13 med s 1 Right	21218996	Andrade et al. 2019	
14547381	CM13 med s 3 Right	21218996	Andrade et al. 2019	
14547391	CM13 lat s 4 Right	21218996	Andrade et al. 2019	
14547396	CP23 v s 6 Right	21218996	Andrade et al. 2019	
14547401	CPf s 3 Right	21218996	Andrade et al. 2019	
14547406	CPd s 1 Right	21218996	Andrade et al. 2019	
14547411	CPd s 4 Right	21218996	Andrade et al. 2019	
14547416	CM13 med s 6 Right	21218996	Andrade et al. 2019	
14547432	CM13 lat s 1 Right	21218996	Andrade et al. 2019	
14547437	CPd s 2 Right	21218996	Andrade et al. 2019	
14547442	CPe s 2 Right	21218996	Andrade et al. 2019	
14547447	CPf s 4 Right	21218996	Andrade et al. 2019	
14628429	CM4 s ppFB 9 Right	21218996	Andrade et al. 2019	
14630189	CM4 s dor pos MEF 2 Right	21218996	Andrade et al. 2019	
